type,number_of_arrays,array_size,time
1,2,8,0.034304
2,2,8,0.018016
3,2,8,0.007488
4,2,8,0.014784
1,2,8,0.030848
2,2,8,0.016864
3,2,8,0.006912
4,2,8,0.01408
1,2,8,0.032608
2,2,8,0.017632
3,2,8,0.007072
4,2,8,0.013856
1,4,8,0.039168
2,4,8,0.017184
3,4,8,0.009024
4,4,8,0.013792
1,4,8,0.033696
2,4,8,0.016576
3,4,8,0.008864
4,4,8,0.014016
1,4,8,0.037056
2,4,8,0.01792
3,4,8,0.009216
4,4,8,0.014208
1,8,8,0.036992
2,8,8,0.017536
3,8,8,0.011584
4,8,8,0.01456
1,8,8,0.036256
2,8,8,0.016736
3,8,8,0.01088
4,8,8,0.014432
1,8,8,0.037344
2,8,8,0.017088
3,8,8,0.0104
4,8,8,0.0136
1,16,8,0.042272
2,16,8,0.018464
3,16,8,0.01376
4,16,8,0.014144
1,16,8,0.040672
2,16,8,0.017888
3,16,8,0.013984
4,16,8,0.01456
1,16,8,0.040672
2,16,8,0.01888
3,16,8,0.013696
4,16,8,0.01488
1,32,8,0.041184
2,32,8,0.019168
3,32,8,0.015136
4,32,8,0.015232
1,32,8,0.041632
2,32,8,0.019904
3,32,8,0.014944
4,32,8,0.016352
1,32,8,0.042816
2,32,8,0.01952
3,32,8,0.014944
4,32,8,0.014944
1,64,8,0.045888
2,64,8,0.023328
3,64,8,0.019104
4,64,8,0.019008
1,64,8,0.044768
2,64,8,0.024416
3,64,8,0.022848
4,64,8,0.020544
1,64,8,0.045056
2,64,8,0.023424
3,64,8,0.0216
4,64,8,0.020512
1,128,8,0.046592
2,128,8,0.027712
3,128,8,0.045984
4,128,8,0.03568
1,128,8,0.046848
2,128,8,0.026656
3,128,8,0.050624
4,128,8,0.035008
1,128,8,0.046816
2,128,8,0.026528
3,128,8,0.045184
4,128,8,0.03312
1,256,8,0.06672
2,256,8,0.042656
3,256,8,0.06496
4,256,8,0.053824
1,256,8,0.069248
2,256,8,0.040416
3,256,8,0.065536
4,256,8,0.05312
1,256,8,0.070112
2,256,8,0.042304
3,256,8,0.065184
4,256,8,0.052768
1,512,8,0.1032
2,512,8,0.06656
3,512,8,0.082368
4,512,8,0.064704
1,512,8,0.100864
2,512,8,0.067232
3,512,8,0.082528
4,512,8,0.063808
1,512,8,0.103136
2,512,8,0.065472
3,512,8,0.0832
4,512,8,0.062496
1,1024,8,0.12512
2,1024,8,0.082144
3,1024,8,0.116384
4,1024,8,0.087552
1,1024,8,0.126336
2,1024,8,0.082944
3,1024,8,0.116064
4,1024,8,0.088832
1,1024,8,0.12624
2,1024,8,0.0824
3,1024,8,0.116384
4,1024,8,0.08848
